학교급,설립구분,학교,자치구,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
고등학교,공립,대정고등학교,서귀포시,남,1952-06-02,63509,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,064-730-0100,064-794-2070,http://daejeong.jje.hs.kr
고등학교,공립,대정여자고등학교,서귀포시,여,1964-03-16,63509,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,064-730-5300,064-730-5399,http://djgirls.jje.hs.kr
고등학교,공립,서귀포고등학교,서귀포시,남,1969-03-25,63585,제주특별자치도 서귀포시 중앙로 140,064-730-6300,064-730-6377,http://seogwipo.jje.hs.kr
고등학교,공립,서귀포산업과학고등학교,서귀포시,남여공학,1936-05-29,63582,제주특별자치도 서귀포시 516로 501,064-730-5500,064-733-8764,http://sis.jje.hs.kr
고등학교,공립,서귀포여자고등학교,서귀포시,여,1963-03-15,63571,제주특별자치도 서귀포시 태평로 80,064-766-1100,064-739-0539,http://sgpo.jje.hs.kr
고등학교,공립,성산고등학교,서귀포시,남여공학,1949-11-15,63639,제주특별자치도 서귀포시 성산읍 한도로 79-17,064-786-5000,064-786-5115,http://jejuss.jje.hs.kr
고등학교,공립,중문고등학교,서귀포시,남여공학,1966-04-10,63540,제주특별자치도 서귀포시 일주서로570번길 19,064-735-7400,064-735-7499,http://jungmun.jje.hs.kr
고등학교,공립,표선고등학교,서귀포시,남여공학,1954-06-18,63629,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,064-786-5500,064-786-5599,http://jjps.jje.hs.kr
고등학교,공립,세화고등학교,제주시,남여공학,1953-04-01,63361,제주특별자치도 제주시 구좌읍 세종로 26,064-780-1603,064-783-2480,http://sehwa.jje.hs.kr
고등학교,공립,애월고등학교,제주시,남여공학,1953-04-25,63044,제주특별자치도 제주시 애월읍 일주서로 6372-20,064-797-5100,064-799-6974,http://aewol.jje.hs.kr
고등학교,공립,제주고등학교,제주시,남여공학,1907-07-01,63092,제주특별자치도 제주시 1100로 3213,064-750-4114,064-747-4377,http://jeju.jje.hs.kr
고등학교,공립,제주과학고등학교,제주시,남여공학,1999-03-02,63144,제주특별자치도 제주시 산록북로 421-1,064-754-0700,064-754-0777,http://jeju-s.jje.hs.kr
고등학교,공립,제주여자상업고등학교,제주시,여,1966-03-08,63282,제주특별자치도 제주시 동문로 89-1,064-754-0100,064-754-0199,http://jejugc.jje.hs.kr
고등학교,공립,제주외국어고등학교,제주시,남여공학,2004-03-05,63065,제주특별자치도 제주시 애월읍 고성남길 34,064-717-7700,064-717-7703,http://jejufl.jje.hs.kr
고등학교,공립,제주제일고등학교,제주시,남,1955-05-16,63087,제주특별자치도 제주시 진군길 22,064-740-8200,064-740-8290,http://jeil.jje.hs.kr
고등학교,공립,제주중앙여자고등학교,제주시,여,1979-11-21,63231,제주특별자치도 제주시 구남동5길 11,064-717-3100,064-717-3110,http://jungang.jje.hs.kr
고등학교,공립,한국뷰티고등학교,제주시,남여공학,1969-03-08,63008,제주특별자치도 제주시 한경면 용고로 70,064-795-8240,064-772-5977,http://kbeauty.jje.hs.kr
고등학교,공립,한림고등학교,제주시,남여공학,1964-03-09,63012,제주특별자치도 제주시 한림읍 월계로 74,064-795-5500,064-796-9819,http://hallim.jje.hs.kr
고등학교,공립,한림공업고등학교,제주시,남여공학,1953-04-19,63028,제주특별자치도 제주시 한림읍 한림중앙로 87,064-797-3211,064-797-3219,http://hallim-th.jje.hs.kr
고등학교,공립,함덕고등학교,제주시,남여공학,1953-05-22,63332,제주특별자치도 제주시 조천읍 신흥로 9,064-780-7800,064-783-1247,http://hamdeok.jje.hs.kr
고등학교,공립,제주온라인학교,제주시,남여공학,2024-09-01,63092,제주특별자치도 제주시 1100로 3213,064-747-1700,064-747-1778,https://school.jje.go.kr/jejuon
고등학교,국립,제주대학교사범대학부설고등학교,제주시,남여공학,1984-03-06,63151,제주특별자치도 제주시 용담로 65,064-754-6500,064-754-6400,http://jnuh.jje.hs.kr
고등학교,사립,남주고등학교,서귀포시,남,1955-04-09,63579,제주특별자치도 서귀포시 동홍로303번길 14,064-730-6000,064-733-6100,http://namju.jje.hs.kr
고등학교,사립,삼성여자고등학교,서귀포시,여,1975-11-18,63598,제주특별자치도 서귀포시 검은여로 151,064-760-5400,064-762-2670,http://samsung.jje.hs.kr
고등학교,사립,남녕고등학교,제주시,남여공학,1986-03-03,63128,제주특별자치도 제주시 도령로 55,064-717-6357,064-717-6388,http://namnyeong.jje.hs.kr
고등학교,사립,대기고등학교,제주시,남,1984-03-05,63328,제주특별자치도 제주시 번영로 453-6,064-721-5142,064-721-5146,http://www.daykey.hs.kr
고등학교,사립,신성여자고등학교,제주시,여,1909-10-18,63308,제주특별자치도 제주시 아봉로 174-1,064-729-7300,064-724-7060,http://shinseong.jje.hs.kr
고등학교,사립,영주고등학교,제주시,남여공학,1995-03-01,63311,제주특별자치도 제주시 첨단동길 92,064-729-6252,064-702-6255,https://jyj.jje.hs.kr
고등학교,사립,오현고등학교,제주시,남,1951-09-25,63293,제주특별자치도 제주시 일주동로 101,064-754-0883,064-755-4216,http://ohyun.jje.hs.kr/
고등학교,사립,제주여자고등학교,제주시,여,1951-09-25,63236,제주특별자치도 제주시 구산로 50,064-728-0100,064-728-0101,http://jeju-g.jje.hs.kr
고등학교,사립,제주중앙고등학교,제주시,남여공학,1953-12-10,63311,제주특별자치도 제주시 아봉로 323,064-721-1152,064-750-3888,http://jja.jje.hs.kr
유치원,공립,가파초등학교병설유치원,서귀포시,남여공학,1995-11-01,63514,제주특별자치도 서귀포시 대정읍 가파로67번길 45,064-794-6711,064-794-5764,http://gapa.jje.es.kr
유치원,공립,강정초등학교병설유치원,서귀포시,남여공학,1982-03-05,63563,제주특별자치도 서귀포시 말질로 188,064-739-2389,064-739-0662,http://gangjeong.jje.es.kr
유치원,공립,대정서초등학교병설유치원,서귀포시,남여공학,1981-03-01,63506,제주특별자치도 서귀포시 대정읍 동일하모로 43,064-794-0850,064-794-0780,http://djseo.jje.es.kr
유치원,공립,대정초등학교병설유치원,서귀포시,남여공학,1984-03-15,63508,제주특별자치도 서귀포시 대정읍 상모대서로 15,064-786-0728,064-794-2202,http://daejung.jje.es.kr
유치원,공립,도순초등학교병설유치원,서귀포시,남여공학,2020-03-01,63561,제주특별자치도 서귀포시 도순남로 83,064-730-0300,064-739-4261,http://dosun.jje.es.kr
유치원,공립,동남초등학교병설유치원,서귀포시,남여공학,1981-03-05,63640,제주특별자치도 서귀포시 성산읍 고성오조로 55,064-786-5800,064-786-5899,http://dongnam.jje.es.kr
유치원,공립,무릉초등학교병설유치원,서귀포시,남여공학,1982-03-12,63501,제주특별자치도 서귀포시 대정읍 서삼중로 106,064-792-5302,064-792-5303,http://murung.jje.es.kr
유치원,공립,법환초등학교병설유치원,서귀포시,남여공학,1985-09-20,63573,제주특별자치도 서귀포시 이어도로 879,064-739-2798,064-739-5229,http://beophwan.jje.es.kr
유치원,공립,보목초등학교병설유치원,서귀포시,남여공학,1995-03-15,63599,제주특별자치도 서귀포시 마소물로8번길 9,064-735-3581,064-735-3501,http://bomok.jje.es.kr
유치원,공립,보성초등학교병설유치원,서귀포시,남여공학,1981-03-09,63517,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,064-797-3382,064-797-3399,http://jejuboseong.jje.es.kr
유치원,공립,사계초등학교병설유치원,서귀포시,남여공학,1981-03-10,63528,제주특별자치도 서귀포시 안덕면 산방로 346,064-795-7118,064-795-7199,http://sagye.jje.es.kr
유치원,공립,서광초등학교병설유치원,서귀포시,남여공학,2002-03-11,63522,제주특별자치도 서귀포시 안덕면 중산간서로 1842,064-794-9920,064-794-0941,http://seogwang.jje.es.kr
유치원,공립,서귀북초등학교병설유치원,서귀포시,남여공학,1984-04-15,63584,제주특별자치도 서귀포시 중앙로 175,064-760-0308,064-760-0303,http://seogwibuk.jje.es.kr
유치원,공립,서귀서초등학교병설유치원,서귀포시,남여공학,2001-03-15,63584,제주특별자치도 서귀포시 솜반천로 38,064-766-1707,064-766-1799,http://seoguiseo.jje.es.kr
유치원,공립,서귀중앙초등학교병설유치원,서귀포시,남여공학,1996-03-16,63590,제주특별자치도 서귀포시 중동로8번길 8,064-731-6270,064-731-6279,http://seogwijoongang.jje.es.kr
유치원,공립,서귀포초등학교병설유치원,서귀포시,남여공학,2015-03-03,63596,제주특별자치도 서귀포시 솔동산로11번길 17,064-735-4205,064-735-4299,http://seogwipo.jje.es.kr
유치원,공립,서호초등학교병설유치원,서귀포시,남여공학,1982-03-10,63569,제주특별자치도 서귀포시 호근남로 40,064-766-3582,064-766-3599,http://seoho.jje.es.kr
유치원,공립,성산초등학교병설유치원,서귀포시,남여공학,1995-03-13,63643,제주특별자치도 서귀포시 성산읍 한도로 217,064-782-2014,064-782-9014,http://jjseongsan.jje.es.kr
유치원,공립,성읍초등학교병설유치원,서귀포시,남여공학,1984-03-20,63624,제주특별자치도 서귀포시 표선면 성읍민속로 65,064-780-1800,064-787-4637,http://seongeup.jje.es.kr
유치원,공립,수산초등학교병설유치원,서귀포시,남여공학,1981-03-10,63630,제주특별자치도 서귀포시 성산읍 수시로 9,064-766-6702,064-766-6777,http://jjsusan.jje.es.kr
유치원,공립,시흥초등학교병설유치원,서귀포시,남여공학,1984-03-12,63638,제주특별자치도 서귀포시 성산읍 시흥상동로 113,064-731-6702,064-731-6777,http://jjsiheung.jje.es.kr
유치원,공립,신례초등학교병설유치원,서귀포시,남여공학,1981-03-10,63608,제주특별자치도 서귀포시 남원읍 중산간동로 7116,064-767-3474,064-767-3971,http://shinrye.jje.es.kr
유치원,공립,신산초등학교병설유치원,서귀포시,남여공학,1981-03-10,63634,제주특별자치도 서귀포시 성산읍 일주동로 5104,064-780-2850,064-780-2888,http://sinsan.jje.es.kr
유치원,공립,안덕초등학교병설유치원,서귀포시,남여공학,1981-03-10,63530,제주특별자치도 서귀포시 안덕면 화순로56번길 32,064-794-0956,064-792-0408,http://andeok.jje.es.kr
유치원,공립,예래초등학교병설유치원,서귀포시,남여공학,1981-03-10,63537,제주특별자치도 서귀포시 예래로 210-14,064-738-2589,064-738-4240,http://yerae.jje.es.kr
유치원,공립,온평초등학교병설유치원,서귀포시,남여공학,1995-03-18,63633,제주특별자치도 서귀포시 성산읍 일주동로 4740,064-780-2702,064-780-2777,http://www.onpyung.jje.es.kr
유치원,공립,위미초등학교병설유치원,서귀포시,남여공학,1981-03-10,63611,제주특별자치도 서귀포시 남원읍 태위로 57,064-760-0280,064-760-0250,http://wimi.jje.es.kr
유치원,공립,의귀초등학교병설유치원,서귀포시,남여공학,1982-03-08,63618,제주특별자치도 서귀포시 남원읍 한신로 213,064-780-9911,064-780-9999,http://euigwi.jje.es.kr
유치원,공립,중문초등학교병설유치원,서귀포시,남여공학,2015-03-03,63545,제주특별자치도 서귀포시 천제연로 231,064-730-5612,064-738-3317,http://jungmun.jje.es.kr
유치원,공립,창천초등학교병설유치원,서귀포시,남여공학,1982-03-08,63532,제주특별자치도 서귀포시 안덕면 창천중앙로 13,064-793-5670,064-793-5699,http://changcheon.jje.es.kr
유치원,공립,태흥초등학교병설유치원,서귀포시,남여공학,1981-03-10,63617,제주특별자치도 서귀포시 남원읍 태위로 915,064-766-5080,064-766-5089,http://taeheung.jje.es.kr
유치원,공립,토산초등학교병설유치원,서귀포시,남여공학,1984-03-10,63626,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,064-780-9281,064-780-9299,http://tosan.jje.es.kr
유치원,공립,토평초등학교병설유치원,서귀포시,남여공학,1981-03-10,63604,제주특별자치도 서귀포시 토평남로 86,064-762-0506,064-732-0522,http://topyeong.jje.es.kr
유치원,공립,표선초등학교병설유치원,서귀포시,남여공학,1981-03-10,63629,제주특별자치도 서귀포시 표선면 표선동서로 293,064-787-3011,064-787-3872,http://pyoseon.jje.es.kr
유치원,공립,풍천초등학교병설유치원,서귀포시,남여공학,1985-09-23,63637,제주특별자치도 서귀포시 성산읍 풍천로 18,064-786-5600,064-786-5697,http://pungcheon.jje.es.kr
유치원,공립,하례초등학교병설유치원,서귀포시,남여공학,1984-03-15,63613,제주특별자치도 서귀포시 남원읍 일주동로 8002,064-767-4360,064-767-3843,http://harye.jje.es.kr
유치원,공립,하원초등학교병설유치원,서귀포시,남여공학,1981-03-05,63542,제주특별자치도 서귀포시 월평하원로 149,064-735-7822,064-735-7899,http://jjhawon.jje.es.kr
유치원,공립,한마음초등학교병설유치원,서귀포시,남여공학,2001-03-02,63627,제주특별자치도 서귀포시 표선면 한마음초등로 408,064-780-2320,064-787-6215,http://hanmaum.jje.es.kr
유치원,공립,효돈초등학교병설유치원,서귀포시,남여공학,1980-04-19,63606,제주특별자치도 서귀포시 효돈로 161,064-767-0471,064-767-1794,http://hyodon.jje.es.kr
유치원,공립,흥산초등학교병설유치원,서귀포시,남여공학,1982-03-10,63616,제주특별자치도 서귀포시 남원읍 일주동로 6642,064-730-2811,064-730-2888,http://heungsan.jje.es.kr
유치원,공립,고산초등학교병설유치원,제주시,남여공학,1981-03-10,63008,제주특별자치도 제주시 한경면 고산로1길 16,064-793-1800,064-772-5478,http://gosan.jje.es.kr
유치원,공립,광령초등학교병설유치원,제주시,남여공학,1984-03-12,63062,제주특별자치도 제주시 애월읍 광성로 276,064-748-4089,064-748-4093,http://gwang-r.jje.es.kr
유치원,공립,광양초등학교병설유치원,제주시,남여공학,1984-03-14,63197,제주특별자치도 제주시 돈내길 5,064-754-6937,064-756-0014,http://jeju-gwyang.jje.es.kr
유치원,공립,구엄초등학교병설유치원,제주시,남여공학,1981-03-09,63049,제주특별자치도 제주시 애월읍 일주서로 6768,064-713-5191,064-713-6567,http://gueom.jje.es.kr
유치원,공립,구좌중앙초등학교병설유치원,제주시,남여공학,1981-03-10,63358,제주특별자치도 제주시 구좌읍 월정7길 1,064-780-7500,064-783-9380,http://kujwa.jje.es.kr
유치원,공립,귀덕초등학교병설유치원,제주시,남여공학,1981-03-10,63024,제주특별자치도 제주시 한림읍 귀덕14길 14-5,064-795-7707,064-795-7799,http://gwideok.jje.es.kr
유치원,공립,김녕초등학교병설동복분교장유치원,제주시,남여공학,2019-03-04,63347,제주특별자치도 제주시 구좌읍 동복로 66-5,064-780-5900,064-780-5990,http://kimnyeong.jje.es.kr/
유치원,공립,김녕초등학교병설유치원,제주시,남여공학,1980-05-10,63357,제주특별자치도 제주시 구좌읍 김녕로 117,064-783-2113,064-784-4077,http://kimnyeong.jje.es.kr
유치원,공립,납읍초등학교병설유치원,제주시,남여공학,2000-03-14,63035,제주특별자치도 제주시 애월읍 납읍로2길 47,064-797-3496,064-797-3499,http://nabeup.jje.es.kr
유치원,공립,노형초등학교병설유치원,제주시,남여공학,1984-03-15,63102,제주특별자치도 제주시 노형로 383,064-740-8403,064-740-8829,http://nohyung.jje.es.kr
유치원,공립,대흘초등학교병설유치원,제주시,남여공학,1984-03-15,63343,제주특별자치도 제주시 조천읍 중산간동로 677,064-780-3600,064-783-6625,http://daehul.jje.es.kr
유치원,공립,도남초등학교병설유치원,제주시,남여공학,2013-03-07,63204,제주특별자치도 제주시 도남로8길 22,064-752-2702,064-752-2705,http://jejudonam.jje.es.kr
유치원,공립,도련초등학교병설유치원,제주시,남여공학,2015-03-06,63324,제주특별자치도 제주시 화삼로 104,064-754-9509,064-754-9595,http://doryeon.jje.es.kr
유치원,공립,도리초등학교병설유치원,제주시,남여공학,1982-03-15,63112,제주특별자치도 제주시 도리로 129,064-717-4603,064-717-4699,http://dori.jje.es.kr
유치원,공립,도평초등학교병설유치원,제주시,남여공학,2016-03-07,63076,제주특별자치도 제주시 도평길 17,064-740-0170,064-740-0199,http://jejudopyeong.jje.es.kr
유치원,공립,동광초등학교병설유치원,제주시,남여공학,2019-03-04,63260,제주특별자치도 제주시 태성로 6,064-729-5891,064-729-5899,http://donggwang.jje.es.kr
유치원,공립,동화초등학교병설유치원,제주시,남여공학,1998-03-02,63301,제주특별자치도 제주시 동화로1길 44,064-729-5770,064-729-5773,http://donghwa.jje.es.kr
유치원,공립,물메초등학교병설유치원,제주시,남여공학,1984-03-07,63056,제주특별자치도 제주시 애월읍 엄수로 202-4,064-717-8004,064-717-8099,http://mulme.jje.es.kr
유치원,공립,백록초등학교병설유치원,제주시,남여공학,2019-03-06,63101,제주특별자치도 제주시 정존5길 62,064-754-1600,064-754-1690,http://bn.jje.es.kr/
유치원,공립,봉개초등학교병설유치원,제주시,남여공학,1984-03-10,63313,제주특별자치도 제주시 번영로 484,064-720-6804,064-721-3384,http://bonggae.jje.es.kr
유치원,공립,북촌초등학교병설유치원,제주시,남여공학,1984-03-07,63339,제주특별자치도 제주시 조천읍 일주동로 1481,064-717-3804,064-717-3881,http://bukchon.jje.es.kr
유치원,공립,삼성초등학교병설유치원,제주시,남여공학,1984-03-15,63199,제주특별자치도 제주시 서광로29길 35,064-720-0785,064-721-1778,http://samsung.jje.es.kr/
유치원,공립,삼양초등학교병설유치원,제주시,남여공학,1984-03-12,63321,제주특별자치도 제주시 지석14길 7,064-729-6803,064-729-6888,http://j-samyang.jje.es.kr
유치원,공립,삼화초등학교병설유치원,제주시,남여공학,2014-03-04,63303,제주특별자치도 제주시 화삼북로2길 27,064-710-0662,064-710-0669,http://jj-samhwa.jje.es.kr
유치원,공립,세화초등학교병설유치원,제주시,남여공학,1981-03-05,63361,제주특별자치도 제주시 구좌읍 구좌로 65,064-766-6500,064-766-6599,http://sehwa.jje.es.kr
유치원,공립,송당초등학교병설유치원,제주시,남여공학,1985-09-02,63355,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,064-780-6800,064-780-6899,http://songdang.jje.es.kr
유치원,공립,수원초등학교병설유치원,제주시,남여공학,1981-03-02,63026,제주특별자치도 제주시 한림읍 한림로 822,064-797-3100,064-796-0243,http://suwon.jje.es.kr
유치원,공립,신광초등학교병설유치원,제주시,남여공학,2014-03-07,63127,제주특별자치도 제주시 성신로 25,064-741-0883,064-741-0801,http://jeju-sk.jje.es.kr/
유치원,공립,신제주초등학교병설유치원,제주시,남여공학,2023-03-01,63135,제주특별자치도 제주시 비월길 29,064-741-6100,064-747-6125,http://shinjeju.jje.es.kr
유치원,공립,신창초등학교병설유치원,제주시,남여공학,2019-03-05,63002,제주특별자치도 제주시 한경면 두신로 72,064-795-0730,064-772-4739,http://sinchang.jje.es.kr
유치원,공립,신촌초등학교병설유치원,제주시,남여공학,1981-03-10,63337,제주특별자치도 제주시 조천읍 신북로 51,064-780-5767,064-780-5789,http://sinchon.jje.es.kr
유치원,공립,아라초등학교병설유치원,제주시,남여공학,1998-03-14,63237,제주특별자치도 제주시 중앙로 518,064-750-3900,064-729-5948,http://jejuara.jje.es.kr
유치원,공립,애월초등학교병설유치원,제주시,남여공학,1981-03-10,63043,제주특별자치도 제주시 애월읍 애월로 139-10,064-799-8908,064-799-8999,http://aewol.jje.es.kr
